x,y,z
-689,6379,340
-2118,4543,2137
-3183,2198,3434
-4076,607,2885
-4036,-268,908
-1871,-2245,-1814
1894,-4564,-3600
8302,-5810,-3958
17520,-5282,-3871
25608,-3464,-3722
29838,-3257,-2719
31705,-4608,-1205
31692,-5341,-1309
31028,-6794,-2900
32722,-9258,-534
32767,-11234,1844
32708,-12597,3789
32767,-13041,5589
32767,-11709,6277
32766,-10494,6212
32767,-10124,5162
32761,-9687,2529
30828,-9837,505
25603,-9695,-523
22308,-8533,-1558
20562,-6992,-1736
18470,-5701,-872
16087,-4545,-274
13261,-2862,57
8842,-1550,-156
3960,-1333,-428
223,-879,428
-4371,-121,1669
-10379,137,2475
-11776,2052,4212
-10324,5278,4687
-8952,7583,5532
-7855,7705,8342
-8534,7446,9496
-9834,6372,8199
-9135,4145,6416
-6976,2247,5336
-4864,602,4332
-3119,-1215,2624
-218,-3375,757
5542,-5961,-466
12333,-7647,397
18371,-8677,1636
23691,-9609,1644
29318,-10624,2149
32767,-12545,4414
32767,-13916,4845
32710,-13471,2331
32764,-12963,283
32767,-12366,-165
32766,-12336,222
32767,-12492,1147
32767,-13234,3166
32767,-13865,4503
32767,-13155,3758
32740,-12144,2369
30505,-11427,1602
24605,-10834,824
18853,-10215,83
14334,-9260,-328
11501,-7630,-125
9598,-5748,1138
7745,-3533,3083
5699,-1487,4201
3506,22,4687
676,1219,4787
-3247,2246,3660
-8974,1904,1531
-11182,3435,-255
-10525,6195,-1324
-7997,8668,-798
-7375,8983,959
-8974,7450,2212
-10060,5219,1702
-9370,2855,1311
-7211,667,1966
-3940,-1492,2963
46,-3340,3890
3726,-5375,4507
7354,-7507,4205
11616,-10045,3700
17412,-12027,3562
24380,-13691,4314
31196,-15004,5156
32767,-15068,6094
32747,-14388,7214
32721,-16255,8594
32767,-16641,6926
32767,-14733,2946
32766,-13337,-733
32767,-12889,-2312
32767,-13932,-2262
32767,-15329,-1582
32384,-14941,-2099
28910,-13324,-2808
24542,-11258,-1807
21248,-9922,83
18203,-9267,2896
14203,-8378,5913
9167,-6730,6998
4005,-4922,6895
-185,-3112,7061
-2782,-1472,7518
-4284,259,7408
-7948,949,5624
-10569,1417,3901
-8608,4254,2743
-4703,7165,1856
-1283,9009,2504
-431,9439,3418
-2199,8641,2569
-5003,7152,512
-6367,5736,-1537
-6337,4423,-2918
-5824,2692,-3120
-5205,531,-2666
-4320,-2186,-1904
-857,-5785,-685
4732,-8912,2786
10156,-10967,6258
14080,-12389,7351
17001,-13324,7114
21730,-14874,6562
28614,-16625,6824
32767,-16772,7493
32767,-15638,5530
32682,-14463,1391
32767,-13851,-875
32767,-14351,7
32765,-15145,-1
32767,-15432,-145
32767,-15317,-1
32767,-15063,-470
32767,-14768,-1322
31778,-14648,-2094
27352,-14250,-2077
22515,-13196,-1160
18669,-11762,-126
16322,-10247,1575
14937,-8857,4247
13942,-8202,6171
12007,-6705,8158
8118,-4186,9519
2415,-2117,8024
-3290,-519,4856
-7591,883,2252
-9789,1821,1293
-10721,2344,1512
-12887,1580,1814
-11907,3272,2123
-9895,6738,1512
-7707,8683,396
-6338,7720,414
-5025,5222,1895
-3204,3156,3504
-1372,1624,4465
-761,14,4109
-898,-1866,2800
-684,-4345,1709
1061,-8025,464
5785,-11787,584
12290,-14849,3553
19234,-18169,5775
27408,-20042,6253
32767,-19585,6144
32767,-18210,3762
32658,-16221,1113
32767,-14893,643
32767,-15940,338
32765,-14652,-1399
32767,-12831,-3599
32767,-13548,-4145
32767,-14789,-3229
32177,-14071,-2679
28612,-12898,-1895
23808,-11935,-225
20002,-11361,1062
17036,-11123,2386
13156,-10260,4360
8429,-8608,5132
5349,-6903,4656
4474,-5014,5277
4333,-3174,6384
3504,-1696,6575
1579,-199,5908
-259,1275,4721
-1223,2533,3294
-1354,3529,2021
-1115,4198,983
-1178,4694,248
-1860,5163,-560
-2869,5171,-1736
-3346,4623,-2321
-3056,3814,-2070
-1927,2784,-1368
-251,1720,-571
1855,279,-54
3959,-1385,513
5158,-3042,1236
5178,-4520,1474
4204,-6330,1140
4350,-9385,363
8324,-13521,-465
17597,-16633,1038
29281,-18179,4905
32767,-17908,8728
32767,-16298,10302
32673,-13340,8907
32767,-10264,5002
32767,-10159,692
32765,-12053,-2515
32767,-14039,-3513
32767,-14300,-3931
31677,-12729,-4382
28879,-11270,-3264
26523,-10542,-424
23924,-9778,2266
20348,-9332,3709
16807,-8977,4162
13186,-8387,4411
9918,-7610,4071
8692,-6498,4024
8151,-5228,5037
6545,-3255,5135
5380,-449,4522
3736,1434,3407
1102,2356,2368
-1254,2942,1668
-3045,3264,1232
-3935,3719,938
-4280,4501,650
-5456,5314,375
-6809,5387,-239
-5894,4357,-730
-2952,2551,31
1255,676,1805
4911,-731,4018
6819,-1982,5117
6977,-2906,4202
5132,-3646,1953
3263,-5352,-392
4975,-8878,-2612
12468,-12633,-3277
22608,-13883,107
30856,-13748,4392
32767,-12617,6224
32767,-10888,6167
32715,-9911,5601
32767,-10294,4850
32767,-11062,3887
32766,-10904,2930
32767,-10106,1431
32767,-9920,-259
32508,-10045,-1149
28982,-10012,-1322
23773,-10070,-1575
20334,-9913,-1178
17465,-9320,327
14163,-8389,1461
11934,-7500,1808
11563,-6206,2580
11926,-4856,3469
11221,-3600,4738
9060,-1985,5564
7019,-237,5250
4676,439,3793
2043,559,2688
141,843,1747
-796,1327,539
-798,2383,-671
-1009,3112,-1119
-2613,4416,-889
-4691,5592,-813
-5959,4440,-1794
-6602,2889,-1740
-6288,794,-280
-4186,-2075,1420
701,-5162,3475
7025,-6631,6674
12054,-7809,9039
15509,-8967,8520
19954,-9949,6142
25913,-10565,4243
31618,-11099,3747
32767,-11468,2252
32746,-11358,152
32733,-10661,-1360
32767,-9430,-2446
32767,-8532,-3199
32766,-8887,-3830
32723,-10892,-2683
30953,-11870,-1306
27355,-11351,145
23934,-10213,1160
21008,-9152,1704
18216,-8383,2118
16188,-8001,2277
14621,-7256,2556
13183,-6092,2368
12525,-4867,2152
11443,-3327,2560
8694,-2458,2437
5476,-1711,1799
3121,-684,1645
1621,155,1525
1188,968,1796
1336,1996,1940
1667,2962,1954
739,3724,1986
-1818,4103,1241
-3986,3818,-171
-4598,2884,-1124
-3816,1485,-905
-1785,-87,92
1467,-1863,1679
5503,-3030,3579
8592,-3232,4961
9258,-3698,4923
9749,-5542,3019
13807,-7527,1967
20020,-9366,2163
25476,-9601,3037
28281,-9034,3783
30157,-9339,2214
32767,-10870,514
32767,-11670,1118
32720,-11015,2407
32764,-9797,2423
32767,-8795,1336
32766,-8841,-289
32767,-10088,-1313
31300,-11081,-1347
26196,-11144,-1769
22029,-10623,-1847
18757,-9669,-1290
15731,-8690,-276
13035,-8234,719
11134,-7428,1428
9812,-5856,2651
8548,-4135,3457
6183,-2323,3556
3177,-691,3572
420,369,3617
-1780,1054,3713
-2422,1891,3728
-2706,2644,3182
-3287,3840,2355
-4843,4844,684
-6451,4388,-1666
-6655,3056,-2831
-4411,919,-3011
312,-901,-2101
5021,-1383,274
8031,-1780,2075
8526,-2878,2557
7689,-4675,2168
7693,-6942,1532
11183,-9949,598
18170,-11454,1631
25198,-12266,4529
31136,-12719,6465
32767,-12427,6681
32767,-11901,6264
32723,-10607,4820
32767,-9321,1911
32767,-9168,-541
32766,-9219,-2815
32767,-10338,-4476
32307,-11563,-5612
28532,-11561,-6023
24586,-11263,-5832
21695,-10555,-4545
18012,-10089,-2133
14647,-9900,-250
12903,-9213,956
12138,-7377,2724
11041,-5166,3654
8273,-4048,3442
5226,-3024,3805
3037,-1573,4741
1416,10,4896
105,1247,4713
-934,1907,4231
-1601,2526,3435
-2284,3438,2440
-3838,4378,1051
-5836,4683,-962
-6938,4228,-2400
-6758,2961,-2519
-5521,1059,-1828
-3090,-1282,-265
568,-3744,1638
4245,-5403,3859
7469,-6279,5462
10512,-7858,5554
13562,-9654,5035
16290,-11797,3705
21554,-13656,2191
29852,-14302,2265
32767,-14706,3645
32767,-13842,3399
32691,-11874,942
32767,-10362,-1695
32767,-9906,-3528
32765,-10671,-4641
32767,-13033,-4191
32745,-13668,-2505
30693,-12367,-1702
26579,-11144,-2050
23022,-11155,-1901
20811,-11287,-576
18816,-10585,723
16682,-9613,1593
13532,-8548,1725
10344,-7970,962
7900,-7255,697
5658,-5691,1204
3927,-3786,1409
2324,-1691,1948
375,134,2974
-1299,1361,3856
-2622,2115,4336
-2930,2828,4101
-2635,3872,3418
-3809,4463,1967
-5590,4348,-41
-6507,3475,-1477
-6019,1844,-2228
-3240,-506,-2338
1831,-2378,-868
7080,-2886,1793
9780,-3351,3094
9440,-4192,2658
8901,-6394,948
12248,-9870,-536
20474,-12774,737
28281,-13255,2994
32767,-11878,3805
32767,-11057,4494
32685,-9967,3863
32766,-9030,1757
32767,-8761,-219
32766,-9056,-1492
32767,-10248,-1905
32331,-11525,-1861
28230,-11577,-2217
23576,-10914,-2734
19912,-10061,-2332
17290,-9485,-1486
15418,-8974,200
13776,-8060,1849
13419,-6291,2866
12551,-4717,3131
10400,-3557,3502
7556,-2800,3375
5705,-1838,2662
5272,-192,2583
4435,1329,3100
2866,2246,3007
1556,2780,2290
642,3544,1210
267,4225,177
5,4748,-589
-1157,5047,-1189
-2777,4947,-1723
-3490,4418,-1806
-4139,3206,-1658
-4751,1889,-961
-4383,-355,20
-2432,-2885,1624
1283,-5790,3428
6000,-7913,5136
11874,-9606,6303
19154,-10677,6243
25193,-11313,5964
28492,-10150,4488
31516,-9433,2319
32728,-9915,-1295
32767,-11139,-2699
32754,-11856,-1629
32764,-11235,721
32767,-9618,2166
32767,-9213,1310
32767,-10433,-165
32052,-11937,-677
27624,-11679,-1009
22834,-10658,-1184
19174,-9686,-1486
16654,-9005,-1007
15945,-8854,-294
15529,-7878,1297
13758,-6464,2129
12265,-5569,1675
10484,-4420,1719
8160,-3049,1884
6443,-1908,1639
4951,-402,1553
3442,1151,1516
1699,2247,1559
225,2783,1677
-666,3040,1525
-1666,3660,1077
-3695,4628,370
-5574,4668,-1021
-6512,3802,-2145
-6671,2650,-2125
-5781,802,-1404
-3148,-1907,-580
2842,-5087,523
10005,-5957,3903
15442,-6420,7061
18292,-6732,7350
19925,-6627,5266
22707,-7950,1906
26219,-9339,-596
31399,-10227,-159
32767,-10981,902
32759,-10606,1705
32728,-9351,2186
32767,-8010,1985
32767,-7633,825
32766,-8436,-618
