x,y,z
-1188,1663,17290
-1202,1533,17397
-1193,1407,17323
-1117,1403,17477
-1035,1420,17912
-1016,1667,18090
-1055,1974,18006
-1134,1934,17707
-1308,1730,17389
-1344,1657,17282
-1102,1626,17007
-1012,1425,17027
-1029,1447,17727
-833,1707,17880
-601,1665,18252
-466,1698,18632
-506,1743,18272
-707,1655,18018
-852,1559,17261
-723,1440,16764
-478,1612,16424
-301,1641,16520
-314,1552,16779
-126,1692,16771
227,1912,16826
726,1998,17255
887,1787,17814
1000,1607,17987
894,1540,17839
738,1634,17012
487,1782,16040
338,1719,15551
469,1688,15476
700,1841,15464
1144,1961,15780
1525,1993,16294
1742,1983,16602
1999,1976,16942
2421,2017,17181
2281,2005,17385
2037,2035,17322
2210,1881,16934
2303,1634,16848
2254,1666,16365
2327,1409,15976
2565,1109,16085
2441,1175,16238
2269,1375,16530
2070,1698,16641
2140,1833,16693
2271,1856,16846
2342,1749,16993
2350,1617,16858
2395,1437,16443
2384,1417,16133
2267,1470,15957
2107,1490,15831
2119,1606,15982
2037,1662,16182
1843,1673,16323
1618,1687,16529
1598,1647,16672
1454,1583,16767
1246,1705,16911
1216,1839,16966
1232,1848,17039
1364,1548,17168
1288,1397,17275
1067,1539,17245
1030,1734,17293
997,1785,17516
980,1742,17925
869,1729,17878
898,1827,17617
977,1856,17530
1108,1789,17525
967,1722,17481
742,1719,17400
509,1753,17228
575,1592,17238
742,1503,17019
757,1573,17120
774,1795,17438
592,1987,17726
284,2166,17809
187,2061,17621
293,2010,17532
293,1765,17503
648,1714,17336
477,1693,17067
356,1625,16944
124,1632,16866
-153,1757,16767
-266,1920,16700
-256,2182,16329
-206,2351,15940
-329,2407,15871
-228,2478,16011
-266,2339,16041
-395,2179,15820
-648,2079,15420
-1205,1932,15255
-1163,1815,15244
-1235,1536,14972
-1741,959,15815
-1648,964,16805
-1208,1735,17180
-991,2230,17097
-834,2204,17072
-964,1989,17238
-1063,1692,17428
-1172,1733,17494
-1242,1761,17410
-1600,1931,16813
-2039,1825,16375
-2396,1405,16242
-2274,1248,16359
-1846,1468,16738
-1575,1813,17379
-1400,1920,18272
-1408,1871,18891
-1626,1785,18957
-1909,1893,18129
-2265,1940,16909
-2641,1638,16079
-2878,1114,15876
-2675,1037,16293
-2494,1532,17116
-2305,1898,17797
-2182,1959,18229
-2204,1777,18431
-2397,1566,18200
-2673,1413,17664
-2809,1466,17188
-2783,1600,16978
-2777,1611,17220
-2788,1631,17371
-2729,1719,17395
-2535,1792,17277
-2430,1735,16900
-2441,1599,17006
-2551,1399,17231
-2283,1325,17499
-1924,1477,17751
-1869,1606,18086
-1920,1718,18194
-1799,1712,17530
-2027,1479,17269
-2188,1320,17037
-2031,1138,16757
-1990,1135,16701
-1888,1157,16844
-1733,1146,16657
-1710,1317,16369
-1812,1276,16389
-1726,1236,16412
-1418,1326,16234
-1500,951,16365
-1462,991,16536
-1347,1289,16416
-1059,1301,16803
-930,1501,17203
-880,1533,17240
-893,1497,16850
-794,1694,16417
-727,1783,16072
-633,1967,15762
-669,2110,15733
-592,1952,15938
-536,1647,16498
-287,1489,17219
-179,1554,17114
-316,1818,16964
-120,2157,16713
332,2008,16480
390,1684,16432
588,1534,16659
760,1334,16874
1040,1299,17138
1184,1473,17251
1172,1516,17190
1190,1807,17083
1142,2168,16942
