x,y,z
-3300,-50,16720
-2621,1018,16659
-2051,1795,17025
-1563,1931,17260
-1411,1162,17461
-1776,-63,17777
-2201,-1573,17928
-2601,-2494,17938
-2676,-2493,17620
-2277,-2129,17361
-1743,-1441,17267
-1381,-1060,17578
-1073,-687,18189
-522,-120,18634
237,493,18735
878,569,18691
901,-294,18762
400,-1902,19486
-148,-3346,20120
-298,-3924,19807
-62,-3373,18406
399,-2233,16689
792,-1246,15556
1043,-605,15048
1199,-207,15015
1284,-39,15361
1456,-66,15908
1685,-64,16452
1726,-108,16853
1950,-148,17010
2404,-44,16728
2814,-20,16227
2940,-181,15984
2780,-813,16144
2639,-1740,16642
2571,-2326,17176
2780,-2121,17550
3295,-1539,17795
3762,-761,17933
3976,-284,18047
3927,-157,18260
3869,-200,18389
3832,-416,18311
3780,-262,17931
3944,41,17409
3984,226,16946
3910,198,16675
3654,-27,16707
3432,-208,16866
3093,-331,16811
2648,-243,16757
2696,250,16525
2956,1037,16074
3187,1476,15710
3098,1327,15785
2777,878,16061
2499,437,16408
2378,7,16555
2248,-109,16698
2116,216,16670
2104,1225,16390
2101,1988,16238
1896,1974,16269
1419,1586,16329
1361,1246,16129
1541,887,15904
1306,366,15903
837,-332,16360
447,-533,16787
349,-166,16866
364,550,16780
463,1364,16705
855,2362,16499
1045,2644,16525
1017,2231,16805
637,1347,17007
282,518,17162
53,27,17124
-198,-71,16817
-489,28,16553
-766,114,16482
-1080,84,16590
-1168,167,16577
-871,454,16394
-801,541,16423
-1024,325,17042
-1151,21,17782
-1436,-164,18096
-2061,-411,18038
-2779,-722,17752
-3261,-841,17498
-3219,-564,16909
-3051,-97,16301
-3118,81,16135
-3287,-208,16906
-3978,-469,17967
-4161,-266,18902
-3914,450,19358
-3637,1411,19558
-3432,1765,19525
-3524,1480,19003
-3652,900,18186
-3897,86,17330
-4282,-849,16700
-4569,-1618,16437
-4805,-1879,16382
-4835,-1665,16422
-4778,-1359,16815
-4845,-1028,17320
-4648,-682,17895
-4578,-490,18148
-4642,-347,18134
-4577,-262,18143
-4565,-570,18340
-4722,-900,18420
-4901,-1275,18211
-5039,-1664,17828
-5218,-1836,17657
-5151,-1616,17751
-4858,-1077,17922
-4510,-324,18205
-4336,159,18604
-4288,79,18923
-4479,-388,19072
-4646,-880,18845
-4356,-1070,18384
-4360,-1107,17918
-4217,-1307,17461
-3904,-1275,17034
-3837,-991,16870
-3720,-1137,16994
-3587,-1420,17023
-3497,-1188,16805
-3261,-530,16691
-2971,-142,16998
-2876,141,17651
-2638,293,18198
-2250,-17,18619
-2206,-575,18770
-2073,-661,18560
-1578,-528,17963
-1094,-471,17290
-814,-20,16742
-772,74,16523
-895,-373,16538
-1042,-669,17013
-1021,-560,17650
-652,-174,17975
-490,206,17981
-397,414,17995
-164,413,17910
-110,310,17602
-18,315,16926
163,190,16048
412,-115,15558
139,-441,15622
-65,-647,15970
-22,-1125,16643
-87,-1441,17196
50,-1462,17286
409,-1271,17184
738,-999,17012
921,-875,16782
957,-896,16528
881,-887,16272
1194,-797,15970
1487,-708,15571
1350,-1093,15578
1199,-1688,16168
925,-1738,16804
1109,-1533,17123
1556,-1323,17111
2005,-1193,17056
2413,-1085,17103
2708,-1183,17298
2678,-1561,17638
2511,-2032,18097
2449,-2346,18302
2501,-2267,17950
2730,-1947,17288
2855,-1523,16707
2757,-1160,16595
2764,-1075,16886
2785,-800,17212
2929,-226,17285
3173,28,17241
2912,-119,17348
2464,-132,17441
2394,-6,17315
2394,190,16982
2438,333,16637
2242,357,16512
2004,344,16519
1895,70,16424
1612,-120,16219
1470,-103,15946
1366,116,15729
1212,441,15796
1131,1031,15847
1272,1680,15692
1468,2249,15764
1534,2187,16312
1377,1820,17100
1081,1547,17486
848,1217,17490
482,782,17397
343,411,17244
427,309,17161
506,226,17137
539,386,17157
613,593,17349
655,891,17555
276,926,17785
-4,687,17841
-146,556,17485
-293,535,16735
-369,458,16067
-632,436,15744
-919,527,15767
-1156,608,16162
-1264,565,16545
-955,956,16568
-653,1332,16110
-782,1216,15979
-918,895,16520
-1300,725,16842
-1855,566,16722
-2393,381,16380
-2734,238,16098
-2714,236,15962
-2660,272,16027
-2540,-21,16356
-2780,-507,16836
-3076,-818,17139
-2990,-807,16996
-3026,-747,16578
-3313,-552,16329
-3438,-278,16485
-3456,206,16812
-3444,570,17311
-3591,503,18115
-3802,403,18652
-3863,290,18468
-4048,-314,17912
-4554,-1078,17514
-4910,-1554,17417
-4865,-1696,17670
-4977,-1498,18166
-4996,-1062,18594
-4933,-417,18631
-4825,287,18439
-4582,771,18475
-4685,482,18608
-4968,-344,18618
-5121,-1054,18410
-5038,-1426,18146
-4934,-1780,17974
-5096,-2216,18054
-5100,-2201,18345
-4716,-1775,18437
-4494,-1317,18360
-4404,-1128,18421
-4372,-907,18388
-4317,-532,18002
-4309,-395,17655
-4361,-444,17450
-4430,-450,17406
-4341,-529,17434
-4306,-701,17352
-4202,-783,17065
-4001,-677,16873
-4001,-637,16968
-3954,-733,17345
-4014,-742,17762
-3881,-461,17914
-3669,-292,17892
-3647,-336,17907
-3592,-298,17860
-3230,-75,17693
-2823,505,17528
-2530,725,17613
-2423,403,17986
-2497,-193,18442
-2460,-453,18508
-2204,22,17948
-1800,427,17507
-1697,642,17710
-1375,820,18005
-937,1089,17788
-708,1406,17310
-648,1531,17191
-573,1522,17020
-392,1445,17012
-241,1343,17048
-184,798,16913
-481,-78,16956
-932,-702,17271
-622,-481,17290
122,261,16687
456,684,16229
457,403,16326
273,-2,16507
233,-352,16737
184,-888,16972
-106,-1458,17359
-84,-1606,17709
356,-1191,17782
929,-492,17246
1028,-129,16556
1069,-104,16410
1409,-322,16373
1601,-361,16284
2088,-353,16174
2496,-445,16485
2415,-837,17118
2325,-1429,17744
2154,-1842,17929
2201,-1971,17541
2215,-1673,17106
2568,-1081,16612
2842,-262,16224
2988,358,16315
3163,563,16415
2990,598,16401
2716,622,16388
2535,711,16389
2484,764,16365
2321,674,16468
2006,537,16746
1733,410,17013
1623,384,17023
1768,678,16632
1816,1181,16085
1923,1525,15905
2125,1761,15975
2084,1913,16124
1730,1707,16490
1351,1439,16891
1115,1357,17034
1078,1455,16920
922,1423,16999
740,1196,17216
468,694,17602
108,282,17841
65,434,17630
395,1206,16939
674,2118,15978
585,2416,15547
253,2208,15725
-125,1703,16116
-412,1175,16363
-695,783,16270
-843,566,16030
-958,366,15974
-1352,110,16146
-1772,-169,16357
-1940,-27,16210
-1768,477,15590
-1748,848,14957
-1841,883,14894
-1955,599,15472
-1996,454,16141
-2098,473,16678
-2095,610,17240
-2125,940,17738
-2305,1372,17899
-2497,1544,17934
-2858,1372,17837
-3306,1327,17752
-3527,1402,17753
-3627,1480,17726
-3765,1515,17554
-3723,1428,17273
-3850,1300,17222
-4068,1063,17474
-4164,720,17992
-4452,52,18453
-4873,-684,18906
-5109,-1038,19039
-5410,-1463,19034
-5565,-1631,19083
-5353,-1496,19162
-5205,-1567,18855
-5316,-1698,18482
-5439,-1698,18375
-5489,-1716,18440
-5512,-1784,18587
-5631,-1681,18603
-5586,-1502,18709
-5472,-1359,18815
-5439,-1173,18799
-5151,-760,18491
-5042,-574,18146
-4980,-724,17910
-4926,-1129,17848
-4796,-1223,17836
-4497,-1065,17881
-4303,-992,18077
-4027,-761,18383
-3845,-843,18326
-3875,-1229,18065
-3794,-1456,17981
-3635,-1418,18138
-3515,-1270,18137
-3400,-1157,18221
-3278,-1098,18210
-3272,-1183,18130
-3347,-1312,18204
-3090,-931,18116
-2631,-292,17999
-2408,239,18119
-1951,785,18409
-1518,1346,18896
-1599,1453,18462
-1236,1420,18302
-1127,1156,18283
-1291,611,18037
-1433,310,17602
-1393,9,17156
-1349,-118,16815
-1420,-370,16538
-1152,-143,16164
-749,264,15763
-403,346,15686
-306,276,16004
-277,226,16828
-3,209,17677
263,205,17959
534,159,17742
626,-159,17361
674,-684,16931
1000,-955,16532
1154,-1282,16396
1067,-1543,16447
1014,-1817,16482
1149,-1816,16590
1343,-1444,16709
1644,-1196,16942
1790,-1385,17037
1490,-1889,17059
1318,-2151,17163
1516,-2185,17311
1986,-1967,17248
2341,-1554,16964
2454,-1485,16801
2389,-1944,16859
1991,-2465,17125
1826,-2695,17529
1874,-2421,17728
2121,-1935,17626
2143,-1725,17638
2232,-1480,17645
2537,-1208,17496
2569,-875,17262
2365,-837,16981
