x,y,z
-9417,8072,514
-8663,8784,387
-7645,8754,399
-7387,8289,176
-8199,7262,274
-9190,4945,1191
-8628,1430,2508
-5387,-1940,3529
425,-4556,3707
6245,-6304,3106
9489,-8068,2458
10385,-9907,1427
13509,-12629,765
21021,-15772,2160
29766,-17881,4191
32767,-19161,5849
32767,-20180,8795
32690,-21071,10192
32767,-21557,7653
32767,-20726,3264
32765,-18860,-708
32767,-18055,-3431
32767,-18218,-4427
32767,-17456,-4494
32688,-15693,-3541
30750,-14365,-1130
26539,-14221,2108
21486,-14300,4955
16038,-14135,6002
11716,-13198,4748
8681,-10014,1945
5842,-5974,-1182
2435,-2720,-2775
-973,-326,-2332
-3424,2087,-821
-4897,4214,725
-5865,5670,2323
-7817,6614,2990
-11689,7477,2266
-11830,9491,769
-9740,10179,148
-8399,10296,269
-8599,9183,566
-9748,7626,1341
-10429,5336,2141
-10056,2420,2490
-8571,-1005,2341
-4967,-4762,2151
1263,-8395,2290
9197,-10753,3224
15678,-13365,4431
21205,-15216,4822
26322,-16514,5498
29819,-18286,6098
32651,-20216,6173
32767,-21947,8442
32727,-22148,10450
32759,-21004,8835
32767,-19819,4360
32766,-18598,384
32767,-17400,-2684
32767,-17536,-5194
30858,-17222,-5185
25489,-15878,-3193
21936,-14756,-321
20094,-13592,2577
19800,-12780,4597
19842,-12542,5779
17029,-11218,5728
11279,-9018,3049
6827,-6723,272
4308,-3999,-1087
1686,-1154,-2068
-1693,1457,-2789
-4434,3705,-3272
-5469,5540,-2979
-5471,6955,-1937
-5290,7675,-1251
-5424,7630,-880
-5252,8642,-1033
-5694,9077,-1095
-6863,8314,-470
-8531,6950,463
-10576,4902,844
-11346,2390,972
-9338,-514,2123
-5315,-4600,3513
947,-7262,5034
7716,-8878,5595
13725,-11004,6558
20635,-13496,6972
28184,-15698,8335
32767,-16877,8603
32767,-17382,6064
32699,-17907,4534
32669,-18985,4220
32762,-19489,3443
32767,-18270,1755
32765,-17545,103
32767,-16965,-1331
32565,-17977,-1370
30896,-17895,-58
28727,-16339,623
26565,-15425,1714
24610,-13628,2732
20360,-12529,3551
15141,-12396,4473
10797,-11111,4516
7358,-8452,3124
4822,-5744,1584
2625,-3190,816
521,-801,840
-1804,1314,995
-4210,2956,448
-5771,4924,-708
-6537,6894,-1783
-6560,8077,-2038
-5962,8375,-1295
-6015,8621,-864
-7452,8575,-775
-8685,7584,-163
-9297,5435,983
-9499,3134,2197
-8413,218,3190
-4757,-2861,3417
968,-5161,4340
6894,-7238,5512
11447,-9087,5893
15680,-11129,4816
19880,-12958,4223
24091,-14854,4010
29152,-17548,4815
32684,-18097,5314
32767,-18617,5540
32730,-20270,8907
32760,-20700,10031
32767,-20095,8013
32766,-18979,2954
32767,-17539,-1407
32742,-17275,-1916
31135,-18000,455
29037,-16882,2515
25798,-15610,4281
21517,-14435,5139
17766,-13377,5038
14516,-12486,4634
11705,-11141,2781
8865,-8816,169
6465,-6209,-2384
3979,-3017,-4045
642,238,-5491
-2251,2736,-4609
-4532,4004,-2898
-6625,4936,-1514
-7939,6017,-818
-8032,7348,-699
-7424,8325,-578
-7251,8460,310
-7550,7948,1498
-6861,6770,2200
-5226,5493,2993
-2226,3611,3519
2043,2316,3505
5453,1691,2688
7066,600,1785
7244,-543,1620
5717,-2256,1479
3393,-5241,1019
3186,-8132,-59
9041,-11899,-599
21003,-13971,2973
32515,-15239,7456
32767,-15943,9625
32604,-15818,12549
32741,-14606,13645
32767,-13885,11237
32765,-13953,7255
32766,-14145,2191
31499,-12931,-1518
27635,-11594,-2551
25390,-11252,-667
26111,-11520,3737
27803,-11218,8128
26890,-10530,10255
24135,-10018,10627
19342,-8978,9065
12621,-7489,5279
6889,-5542,1102
3058,-3159,-2223
2272,320,-4248
3970,2430,-4264
6355,2906,-2574
8561,2856,207
8265,3084,2293
5741,3806,3313
3125,4732,3640
600,5493,2907
-1526,6278,1048
-2091,7583,-849
-2171,8499,-1818
-3470,8425,-2120
-5002,7609,-1882
-5709,6389,-870
-4760,4037,859
-2730,1646,2419
-328,355,2745
2402,-426,2213
4868,-1503,1803
7576,-4193,2255
12758,-6379,3916
20756,-7188,5900
29199,-7421,7235
32250,-7752,7110
30965,-8340,4781
27525,-9363,2537
27738,-10550,3477
31851,-11595,5009
32767,-11879,5504
32749,-11212,4742
32739,-10579,4100
32767,-10304,3787
32767,-10577,3560
32766,-10631,3692
32080,-10223,3566
28165,-9924,3697
23792,-9641,4072
20137,-8744,4801
16137,-8019,4884
13579,-7074,4374
12367,-5520,3428
11294,-3562,1961
9622,-2136,372
7868,-987,-725
6173,769,-1020
3771,2467,-1290
1683,3856,-1479
488,5409,-860
-1176,6396,-515
-2311,7136,-733
-2170,7843,-617
-1801,8332,-440
-1896,8721,-655
-1863,9522,-861
-2267,9613,-466
-3186,8485,590
-4430,7190,1405
-5726,6060,1654
-6029,4236,1482
-4962,1870,1431
-2008,-1321,1355
4533,-3869,1366
11962,-3560,1779
15406,-3459,2086
14323,-4361,2940
11630,-5810,4605
11829,-8532,7284
18588,-12347,10240
27983,-15338,13332
32767,-13978,14734
32767,-11648,13714
32663,-11272,11505
32767,-11778,9046
32767,-11569,3816
32765,-11864,1675
32573,-13153,2950
31705,-12933,4305
30327,-11479,5184
29446,-11219,7650
29047,-10942,10165
26831,-9936,9268
22542,-8747,6647
17880,-8249,4388
14010,-7554,2174
10840,-6162,-990
9179,-3691,-3843
9582,-1474,-4309
9535,-428,-3111
9353,337,-1364
10036,1286,1467
9154,1383,3553
8186,2537,4087
6450,3466,3934
3571,3840,3439
1527,4577,2374
431,5768,1481
-201,6428,389
-135,6940,-326
-94,7261,-478
-276,7622,-229
-1014,7396,11
-1834,6521,115
-2199,5610,113
-1974,4234,308
-1406,2570,600
580,913,1088
4290,-838,2155
7987,-2201,3538
10052,-3341,4383
12293,-4623,4240
17138,-6107,4836
23236,-7868,6709
27943,-8423,8125
28807,-8250,7461
25755,-8033,5443
23432,-9113,3040
27285,-10451,2347
32767,-10215,3914
32767,-9716,4391
32666,-9561,3613
32763,-9641,3547
32767,-10467,5454
32667,-11534,7200
30069,-11369,7891
25476,-10325,7533
22209,-9888,5711
20537,-8032,4415
20057,-7374,3570
19336,-6293,2151
16929,-5423,703
13432,-5201,-406
10386,-4416,-834
9511,-3412,-1488
9948,-1179,-2838
10630,1015,-3544
11224,1813,-3008
11075,2040,-1602
9974,2403,-118
8297,3271,901
5540,3953,1659
2901,4667,1229
1632,5470,588
835,5921,-82
-242,6207,-1326
-1810,7436,-2597
-3474,8099,-3505
-4054,7421,-3579
-2954,6584,-2442
-1129,5272,87
-31,3235,2226
1196,1449,3350
1965,318,3659
2317,-1161,3309
4816,-3068,3250
10752,-3614,3208
17380,-4676,4147
23868,-5984,5948
27575,-6590,6026
28908,-6922,5559
29458,-6841,5447
28186,-7354,5244
26777,-8274,4766
27567,-8891,4761
30290,-9165,4575
32607,-8819,3878
32767,-8626,3298
32742,-8625,3277
32250,-8852,4120
30214,-9554,5583
28822,-9745,6116
27972,-9164,5103
25835,-8060,2980
22515,-6786,82
