x,y,z
12512,1666,-728
13740,1300,-958
14622,979,-951
15030,683,-956
15214,325,-772
15519,64,-452
16090,-220,-149
17042,-597,297
18159,-1225,934
19271,-1832,1486
20351,-2609,1868
21488,-3091,2039
22424,-3307,2005
23525,-3609,2189
23444,-3641,2014
22457,-3171,1769
21666,-2905,2003
21299,-2671,1844
21451,-2755,1551
22077,-3182,1401
23291,-3451,1405
24313,-3863,1597
25022,-4153,2065
25168,-4358,2652
24696,-4312,3132
23976,-3892,3102
23022,-3441,2943
21996,-3128,2963
21125,-2924,2863
20563,-2656,2501
20232,-2401,2162
19967,-2160,1635
19561,-1949,1156
18907,-1836,824
18446,-1832,715
18195,-2023,820
18209,-2148,825
18266,-2117,905
17997,-2294,895
18674,-2437,726
20055,-3279,716
20531,-3105,-268
20328,-2085,-518
18899,-1920,513
16960,-1731,1014
15694,-699,714
14864,-22,347
14072,412,65
13168,1085,-57
12171,1611,198
10906,2010,502
9662,2645,889
8339,3370,1145
6890,3946,1285
5537,4622,1204
4404,5187,1011
3398,5580,933
2505,5947,936
1685,6390,960
836,6589,1169
10,6452,1420
-471,6330,1422
-545,5856,1160
237,5171,535
1823,4061,-165
3933,3004,-835
5933,2112,-1601
7607,1240,-1963
8784,515,-1934
9496,61,-1736
10225,-465,-1162
11360,-1379,-149
13039,-2441,951
15322,-3835,2028
17932,-4904,2871
20595,-5810,3435
23510,-6961,4447
25172,-7851,4714
25973,-7954,4000
26649,-7612,3597
26950,-6924,2643
26582,-6043,1705
25668,-5758,1283
24849,-5507,1348
24574,-5273,1854
24648,-4901,1942
24886,-4499,1917
25321,-4717,2238
26048,-4860,2213
26429,-4684,2229
26372,-4933,2779
25984,-5166,3454
25328,-5155,3704
24574,-5128,3984
23911,-5166,4440
23196,-5098,4695
22376,-4878,4498
21637,-4517,3970
21023,-4125,3476
20540,-3976,3150
20150,-4003,3125
19918,-3937,3029
19732,-3977,2954
19333,-4045,2777
18744,-3644,2415
17887,-2921,2251
16364,-2648,2150
15089,-2470,2190
14456,-2102,2006
14284,-1801,1702
14300,-1699,1795
14019,-1649,2201
13339,-1450,2575
12254,-1100,2863
10966,-446,2764
9515,339,2296
8046,1144,1741
6908,1870,1083
6051,2506,688
5369,2989,455
4957,3340,53
4792,3336,-23
4815,3223,-123
5080,3230,-254
5297,3316,-442
5277,3474,-383
4975,3698,-160
4530,3719,184
4225,3818,451
4508,3675,512
5422,3157,238
6955,2737,-350
8682,2015,-800
10251,1035,-873
11526,357,-1008
12381,-135,-1372
13195,-269,-1650
13831,-465,-1574
14194,-647,-1251
14403,-760,-734
14684,-1298,60
15766,-2016,821
17328,-2740,1510
18704,-3234,1826
20169,-3591,2223
20446,-3723,1988
20064,-3183,1476
20086,-3150,1460
20733,-3607,1115
21648,-3825,758
22506,-3851,1097
23223,-4245,2098
23758,-4814,3651
24377,-5320,5077
24898,-5752,5820
25685,-6183,6151
26515,-6664,5995
27220,-6785,5295
27435,-6697,4337
27794,-6432,3843
27574,-6842,4069
26860,-6921,3846
25987,-6744,3712
24975,-6270,3295
23755,-5704,2443
22664,-5268,1748
21555,-4751,1455
20289,-4165,1237
19019,-3630,1264
17737,-3149,1524
16355,-2711,1817
15036,-2119,2123
13653,-1519,2308
12643,-1033,2324
12721,-956,2570
