x,y,z
-2947,7366,4819
-5785,8673,3958
-8289,9498,2922
-9245,8549,2201
-8840,6684,1493
-7494,4736,822
-6072,2976,495
-4060,1770,-86
-2243,595,-369
1217,-2472,-337
8308,-5782,1407
16479,-8819,3981
23066,-10386,4761
28290,-11607,3162
32505,-13049,1559
32767,-13950,1238
32716,-13965,1839
32754,-14264,3364
32767,-14976,5465
32766,-16241,8649
32767,-17177,11928
32767,-16990,14246
32767,-15978,14801
32767,-13956,13586
32767,-12500,11452
32693,-11542,9359
30454,-10267,7410
25306,-9059,5019
20285,-7715,2330
16087,-6018,-455
12949,-4560,-3059
10347,-2802,-5088
7536,-729,-5848
5007,687,-5334
2979,1331,-4040
1531,1954,-2467
25,2992,-843
-1325,4442,217
-3054,4740,1219
-4224,4706,2761
-4528,5270,4965
-5492,6287,6726
-7193,7466,6943
-8734,8085,5879
-9271,8138,4799
-9500,7068,4203
-8641,5219,3978
-6972,1943,3766
-4116,-2883,2421
692,-6886,1924
7517,-8507,1909
18182,-8627,3138
24933,-10393,3408
27798,-8525,2344
29753,-7929,1318
32722,-10213,2205
32767,-12898,4902
32719,-14629,7508
32760,-13990,9118
32767,-12612,9342
32766,-12351,9061
32767,-13022,9505
32767,-13085,9771
32652,-11941,8151
30608,-10449,5712
27530,-9515,3407
25552,-8431,1338
23887,-6754,-419
21568,-5158,-1867
18857,-3845,-2530
15614,-2639,-2519
11516,-1606,-2604
7208,-636,-3066
3691,205,-3544
1209,992,-3092
-615,1842,-1665
-2183,2245,-47
-3337,2506,1235
-3895,3268,2148
-4058,4514,2650
-4455,5741,3208
-5398,6365,4002
-6063,6388,4614
-6131,6347,4914
-5925,5586,4864
-6254,5006,4119
-5692,4064,2679
-3585,1598,1494
601,-1031,1466
5625,-2585,2781
9420,-4066,3087
12158,-5623,1522
16732,-7127,855
23586,-9798,2333
31144,-13063,4706
32767,-15329,6241
32731,-15551,6490
32718,-14198,6279
32767,-13469,6375
32767,-13624,7384
32766,-14727,9575
32767,-15746,11285
32767,-14661,10620
32497,-12522,8895
29482,-10726,6865
25283,-9225,4513
21708,-7490,2080
18622,-5864,477
16007,-4809,193
13816,-4238,609
11438,-2833,1197
7967,-1517,1430
4020,-802,900
1675,-52,-403
960,1450,-1525
312,3385,-1587
-1405,4594,-1465
-3345,5669,-1484
-3917,6280,-641
-2992,6255,940
-2220,6359,2338
-2412,6837,3242
-3705,7420,3531
-5629,7637,3235
-6484,7199,2872
-6234,5274,2997
-4019,2449,2757
56,767,1671
4475,910,929
8041,632,1736
9072,-385,2396
9188,-2217,2190
10288,-4048,1345
14497,-6700,948
21574,-9485,2026
29535,-12000,3845
32767,-13667,4672
32767,-13358,5248
32693,-12375,6059
32767,-12288,7329
32767,-13545,9422
32765,-14877,10804
32767,-14537,9701
32767,-12717,7216
32743,-10983,5053
31070,-9742,2919
27287,-8624,864
24033,-7130,-1170
21164,-5721,-2677
18763,-4799,-3325
17476,-4359,-3175
17059,-3607,-2492
15855,-2779,-1716
14049,-2020,-1522
12741,-1372,-1188
11179,-852,-321
9197,-525,526
8099,-268,1561
7787,416,2153
7271,1031,2528
6430,1888,1996
5257,3195,1201
4057,4040,1298
2567,3678,1733
1307,3520,1852
807,3591,2170
322,3999,2166
-610,4850,1508
-2022,5944,673
-3574,6437,447
-4869,6423,1060
-5917,6020,2322
-7031,4703,3576
-8133,3571,4248
-7936,2200,4403
-6359,-1167,4118
-2172,-5754,3263
5703,-7636,4495
13910,-9015,6137
20594,-12060,5708
28054,-13806,5132
32767,-12778,4918
32767,-11159,4720
32672,-10422,4770
32767,-11718,5159
32767,-14509,7469
32765,-15993,10233
32767,-15680,10899
32767,-14432,9802
32767,-12977,8148
32767,-12101,6902
32379,-11319,5874
30270,-10096,4703
27750,-9032,3384
25399,-7918,2287
22640,-6960,1833
19581,-6223,1715
16890,-5808,1346
15380,-5509,666
13571,-4568,-215
11335,-3362,-960
9884,-2908,-1472
8224,-1838,-1436
6551,-895,53
4733,-245,1779
2784,492,2726
867,1522,3280
-865,2787,3138
-2197,3997,1942
-2457,4815,850
-1679,5534,-201
-965,6807,-1017
-1285,7541,-524
-2325,6679,665
-2374,5166,1563
-215,4090,2076
3211,3437,2015
6419,3540,1196
8121,3380,333
8034,3263,-539
6665,2609,-1344
5181,1433,-830
4394,-207,165
7169,-2758,1020
12755,-4819,3202
18684,-7074,5765
23346,-8053,7180
26386,-8697,7024
28986,-8583,6779
30129,-8932,6812
30871,-9996,6789
31430,-10847,7366
32132,-12097,8485
32767,-12698,9437
32767,-12282,9781
32754,-10903,8655
32767,-9301,6343
32300,-8742,4245
29964,-7989,2230
27385,-6996,1550
25294,-6824,1150
24267,-6518,557
23276,-5599,302
22416,-4756,185
22665,-4989,416
23745,-4789,1048
23386,-3971,1092
21641,-3564,586
18704,-2655,672
15084,-2455,1565
12897,-2769,3001
11152,-1663,3623
7391,-311,3263
2359,1063,1448
-164,1871,1318
-605,2538,2973
-3077,3095,2420
-5004,4418,813
-3031,5558,682
-913,6708,1297
-1286,7105,2610
-3307,6466,3429
-4988,6066,4037
-5864,4866,4263
-5818,3181,3229
-4832,1697,1900
-3231,2102,1477
-1199,2297,1690
700,907,1963
1300,-34,1399
2049,-1174,905
4879,-2478,1477
8542,-4073,2804
12141,-6407,3246
18183,-8912,3874
23924,-10111,5948
27813,-9337,6576
30964,-9550,5947
32767,-10232,6345
32767,-10317,7275
32732,-10640,7169
32767,-12676,7402
32767,-14144,8234
32766,-14145,8618
32767,-13219,7672
32767,-11709,6184
32767,-11458,4631
32767,-10683,3564
32188,-9910,2662
29477,-9076,1862
26727,-8532,1399
24356,-7743,1622
21737,-6595,1662
19724,-6361,1118
18539,-6042,969
17119,-4976,719
14902,-4495,28
11826,-3876,-501
8819,-2695,-937
6455,-1705,-1381
5237,-136,-1900
4746,1552,-1778
3058,2313,-218
181,2963,1463
-1486,4106,2689
-2150,5096,3424
-2398,6105,3714
-2224,6707,3613
-2738,7427,3193
-4286,8896,2759
-7033,9525,2027
-9109,8641,977
-8839,6325,475
-6656,3840,862
-3372,2308,1352
1439,2245,1775
5272,1626,2265
7812,957,2015
9020,-187,2264
9204,-1851,2445
10425,-4744,2992
12835,-7086,3497
17176,-8027,3426
22801,-9482,4309
28306,-11483,5443
32496,-12503,6235
32767,-12234,7076
32714,-11936,7506
32753,-11136,6384
