x,y,z
24124,-4864,596
22493,-4464,814
21140,-4183,1045
20151,-3771,1175
19104,-3427,1273
18144,-2991,1322
17120,-2661,1271
16026,-2245,1112
15123,-1678,847
14431,-1272,649
13809,-902,596
12933,-639,534
11948,-283,356
11106,141,13
10362,635,-299
9652,894,-507
9264,995,-598
9276,951,-830
9486,966,-1276
9920,1250,-1561
9924,1272,-1422
9388,1371,-1201
8835,1478,-612
8557,1368,210
8308,1253,681
7837,1260,902
7657,1157,968
7989,1153,1103
8157,977,1216
8450,825,1219
9164,416,1517
10040,190,1573
11100,59,1329
11882,170,876
12580,254,539
13185,48,652
13789,-397,1028
14396,-819,1261
15058,-1054,1476
15522,-1327,1651
15790,-1386,1431
15973,-1318,1195
16100,-1442,1142
16718,-1956,1312
18387,-2368,1326
20525,-2352,1301
21709,-2556,1248
22058,-2515,1300
21837,-2502,1787
21487,-2564,2589
21168,-2898,3461
21522,-3351,4110
22546,-3686,4482
23899,-4301,4515
25553,-4677,4358
26821,-4901,4162
27251,-5160,3942
26656,-5523,3678
25966,-5118,3304
25509,-4646,3040
24809,-4601,2900
23855,-4497,3165
22646,-4490,3681
21363,-4228,3996
20125,-3862,3950
19059,-3440,3750
18052,-3054,3499
17029,-2711,3195
16194,-2325,2954
15612,-2108,2657
15054,-1782,2169
14535,-1227,1664
13876,-824,1293
13142,-471,1045
12202,-77,816
10990,316,489
10031,777,213
9329,1129,-30
9073,1374,-215
8804,1416,-254
8147,1762,-663
7685,1974,-563
7180,1979,-29
6783,1891,529
6645,1862,953
6752,1837,1133
7534,1666,1429
8282,1364,1939
8194,1155,1955
7624,1254,1461
7138,1308,962
7187,1156,623
7887,1018,470
8874,607,361
10329,481,135
11847,365,-42
12935,203,45
13834,62,192
14520,-224,468
14742,-381,604
14837,-415,445
15257,-598,733
15777,-860,1203
16220,-1068,1383
17164,-1463,1548
18678,-1854,1696
20466,-2197,1806
22055,-2495,2093
22785,-2639,2304
22818,-2787,2713
22386,-3108,3435
22240,-3430,4190
22499,-3861,4360
23321,-4102,3860
24780,-4504,3141
26467,-4904,2615
27710,-5348,2026
28553,-5544,1260
28783,-5376,676
28244,-5129,288
26834,-4789,104
24934,-4455,252
22844,-4069,736
21018,-3833,1201
19743,-3565,1644
18873,-3251,2130
17978,-3051,2509
17106,-2717,2465
16303,-2297,2160
15421,-1819,1612
14549,-1338,1003
13815,-845,378
13065,-414,-80
12096,-24,-329
11197,399,-684
10431,815,-845
10089,1007,-645
9511,1313,-745
8389,2100,-1371
7588,2430,-1321
7054,2350,-436
6593,2354,343
5795,2451,711
5462,2715,888
6027,2487,1101
6907,2315,1284
7673,2215,1319
7886,2149,1313
7618,2101,1390
7238,1879,1707
7052,1699,2004
7102,1271,2132
7750,1058,1753
9173,875,1411
10776,683,1140
12342,310,1518
13591,-377,2152
14628,-550,2350
15286,-720,2499
15679,-1081,2739
16115,-1485,2743
16898,-1867,2305
18110,-2144,1592
19428,-2263,1054
20718,-2559,1074
21809,-3158,1602
22720,-3612,1884
23311,-3886,1773
23900,-4024,1739
24448,-4293,2045
25076,-4865,2308
26017,-5311,2358
27003,-5787,2324
27886,-6055,2110
28432,-6323,1712
28511,-6286,1281
28046,-6118,947
27003,-5824,586
25500,-5243,395
23563,-4720,529
21609,-4268,978
19821,-3896,1487
18579,-3555,1868
17720,-3267,2330
16911,-2936,2309
16288,-2530,1899
15773,-2138,1368
15245,-1678,921
14520,-1208,334
13602,-691,-310
12612,-250,-849
11857,206,-1138
11236,625,-1146
10880,753,-696
10078,1195,-803
8975,2019,-1414
8091,2390,-1103
7108,2430,-297
5842,2592,158
4731,2849,457
5120,2705,889
5973,2394,1195
7038,2251,1444
8049,2103,1566
7977,2047,1402
7350,2030,1481
6976,1892,1824
6915,1532,2025
7365,1276,2030
7979,907,2034
8899,509,1875
10304,396,1650
11902,139,1737
13038,-251,2172
13849,-772,2513
14497,-1189,2574
15057,-1402,2374
15887,-1887,2397
17229,-2382,2797
18262,-2494,2847
18857,-2636,2320
19541,-2698,1835
20405,-2867,1443
21588,-3203,1385
22812,-3543,1402
23925,-3975,1305
24820,-4473,1206
25774,-5045,1094
27007,-5669,1069
28550,-6237,1158
29892,-6713,1275
30354,-6979,1083
29977,-6843,611
28844,-6342,15
26983,-5723,-102
24906,-5315,206
22983,-4808,504
