x,y,z
64,-273,16975
91,-401,17781
50,-327,18580
31,-212,18732
-25,-195,18287
77,-258,17661
353,-361,17117
334,-124,16801
334,235,16591
161,463,16409
-34,500,16452
-230,570,16827
-203,236,17530
27,-169,18346
21,-71,18759
-126,-16,18623
-317,177,18418
-327,277,18156
-124,12,18225
181,-318,18610
136,-207,19248
-587,647,19872
-766,1189,20051
60,917,20024
845,869,19837
938,1245,19063
946,1508,18789
907,1302,19640
1037,1094,20710
1016,1862,21041
566,2108,21183
196,2292,22623
79,2498,21769
508,2382,20660
-232,2615,21208
-1502,2824,22465
-1894,2639,23579
-1531,2043,23676
-1194,1660,22061
-1827,1978,20174
-2131,3382,20858
-1536,3181,20949
-864,2576,19984
-762,2909,18484
-1096,3261,17288
-1417,3484,17097
-1326,3268,17930
-781,2328,19240
-212,1181,20409
288,359,20883
534,61,20434
88,557,19093
999,-33,18815
722,-104,19000
513,94,19201
897,6,19418
1025,-249,19378
856,-473,19439
739,-389,19394
570,-173,18809
582,362,17765
326,987,16551
172,1580,15348
94,1909,14304
49,2129,13332
67,2298,12536
143,2516,12153
171,2795,12278
435,3106,12609
464,3217,12866
409,3133,12942
377,3135,12658
352,3333,12315
367,3517,12157
249,3645,12141
144,3658,12219
124,3737,12247
-105,3730,12269
-299,3689,12131
-245,3499,12118
-56,3317,12383
149,3191,12686
98,3066,12960
-22,3079,13284
-257,3161,13538
-400,3408,13799
-527,3550,13830
-291,3481,13315
-53,3527,12779
84,3689,12271
0,3833,11602
-50,3852,10908
-12,4211,10478
75,4586,10256
59,4905,9966
84,4801,9561
-30,4640,9339
-188,4660,9595
-197,4687,9986
-358,4710,10486
-559,4746,10801
-717,4559,10819
-739,4409,10693
-758,4420,10602
-835,4508,10542
-896,4703,10522
-830,4883,10556
-830,5123,10774
-792,5241,11080
-684,5088,11252
-438,4747,11440
-493,4605,11745
-638,4579,11976
-623,4516,12101
-642,4504,12168
-613,4603,12404
-813,4504,12652
-1025,4431,13033
-1288,4209,13376
-1274,3855,13403
-879,3356,13478
-810,3088,13908
-1000,3306,14688
-976,3726,15550
-1031,3888,16135
-983,3513,16419
-717,2938,16447
-606,2428,16345
-606,2162,16130
-593,2279,15941
-540,2541,15702
-486,2845,15567
-638,3114,15452
-997,3253,15557
-1095,2966,15871
-658,2377,16425
-455,1844,16998
-440,1664,17925
-239,1613,18940
-79,1474,19617
237,1230,19901
290,1103,19941
83,1264,19733
306,1314,19418
795,999,19436
581,938,19873
130,1315,20564
150,1863,20915
505,2421,20969
491,2927,20044
740,3128,19550
479,3172,19067
823,3578,18422
827,3579,17750
803,3793,17166
490,3981,16913
479,3812,17371
841,4053,18238
842,4294,18956
830,4297,19252
949,4050,19269
1046,3654,19062
1084,3447,18837
1058,3263,18589
1251,2867,18661
1599,2547,19365
1955,2284,20374
1562,2580,21182
635,3338,21512
-106,3809,21670
-172,3765,21893
89,3054,21807
649,2424,20865
1349,2511,19413
