x,y,z
-299,-417,17194
-1025,-306,17012
-1129,-1057,17298
-1533,-1522,18070
-1139,-1383,19109
-219,-1217,19140
-965,-865,18337
-2227,-786,18251
-2167,-459,18996
-865,23,19370
-916,723,19168
-1704,830,18838
-1295,388,19989
-1650,401,21988
-1812,541,23945
-1302,-163,24121
-814,-837,22903
98,-1386,21772
1164,-2130,21235
1398,-2480,21182
863,-1633,21610
-163,-960,23223
-834,-812,25320
479,-501,25344
1105,832,24305
1458,4803,20607
2153,6069,17752
2746,2872,21404
1831,1094,21501
392,520,19437
-86,472,18253
-1019,638,18210
-1524,540,19180
-1434,695,21281
-1195,1108,22050
-583,1351,22318
-969,1912,21552
-1524,1696,21515
-2008,495,21392
-2930,-669,20066
-3548,-1598,18087
-3802,-1707,15243
-4183,-1345,13090
-4698,-695,12073
-4629,537,10709
-4162,1953,8815
-3832,3108,6899
-3658,3845,5447
-3812,4165,5598
-4340,3769,6954
-4282,2702,7701
-4640,1666,8401
-5075,1366,8494
-4111,1796,7327
-3796,2300,5818
-3850,2358,5290
-4362,2029,6588
-4496,1753,8068
-3838,2246,8274
-3397,3272,7594
-3193,3755,6729
-2962,3714,5829
-2767,3441,4888
-2646,2885,3836
-2323,2314,2891
-2378,2037,2527
-2295,2374,2046
-2489,3003,2627
-2483,3144,4992
-1598,2536,7616
-956,2068,9400
-857,2015,11267
-843,2264,12774
-325,2333,14339
482,1768,15392
649,986,16070
-155,310,17241
-543,-575,19116
-274,-1043,20882
369,-758,21759
751,-182,22535
807,376,23131
1216,544,23420
1427,502,23732
1567,395,24126
1687,299,23899
1653,329,23181
1446,139,22892
1278,-210,22043
1131,-861,21923
711,-1044,22661
438,-1448,23709
598,-1669,23766
646,-1257,22893
551,-804,22147
388,-966,21981
147,-1444,22189
-85,-1822,22300
-163,-1959,21969
-283,-1799,20817
-720,-1606,19874
-902,-1635,19840
-750,-1540,20385
-514,-1541,21672
-249,-1902,22738
-414,-2243,23213
-770,-3003,24486
-889,-3633,25373
-998,-4093,26056
-999,-4203,26682
-771,-3933,27139
-92,-3480,27320
246,-3036,27715
347,-2483,28445
733,-2244,29223
1138,-2444,29283
1045,-2368,28280
852,-2273,26849
937,-2195,25027
1010,-1782,22958
955,-1288,20841
490,-1212,19537
163,-1416,18628
102,-1619,19185
97,-1643,18886
183,-1088,17251
118,-773,15514
-235,-599,13312
-702,-223,10826
-1119,169,8487
-1775,546,6529
-2043,912,4873
-2117,1333,3339
-2202,1562,2775
-2520,1779,3885
-2944,1790,5670
-2481,1733,7054
-2129,1719,7215
-2193,1543,6256
-2547,1473,4885
-2812,1841,3542
-2882,2360,2440
